TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Box	biox.com	LOW_MATCH	2	box.com	www.box.com	104.21.24.39,172.67.216.194,2606:4700:3033::6815:1827,2606:4700:3037::ac43:d8c2	https	403	biox.com	0.00	0.00	Unknown	cloudflare	
Box	bkox.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	bmx.com	LOW_MATCH	2	box.com	www.box.com	104.18.37.71,172.64.150.185,2a06:98c1:3107::ac40:96b9,2606:4700:440b::6812:2547	https	200	www.mongoose.com	0.00	0.00	Unknown	cloudflare	redirects to www.mongoose.com
Box	bnx.com	LOW_MATCH	2	box.com	www.box.com	23.227.38.65,2620:127:f00f:5::	https	200	www.bnx.com	0.00	0.00	Unknown	cloudflare	redirects to www.bnx.com
Box	boh.com	LOW_MATCH	2	box.com	www.box.com	40.118.174.70	https	200	www.boh.com	0.00	0.00	Unknown	cloudflare	redirects to www.boh.com
Box	bow.com	LOW_MATCH	2	box.com	www.box.com	172.67.69.203,104.26.5.120,104.26.4.120,2606:4700:20::681a:478,2606:4700:20::681a:578,2606:4700:20::ac43:45cb	https	200	www.bow.com	0.00	0.00	Unknown	cloudflare	redirects to www.bow.com
Box	boxa.com	LOW_MATCH	2	box.com	www.box.com	52.20.84.62	https	403	www.atom.com	0.00	0.00	Unknown	cloudflare	redirects to www.atom.com
Box	boxb.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxf.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxj.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxk.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxl.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxm.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxp.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxt.com	LOW_MATCH	2	box.com	www.box.com	62.233.121.5	https	200	www.boxt.co.uk	0.00	0.00	Unknown	cloudflare	redirects to www.boxt.co.uk
Box	boxu.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxv.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxw.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
